measured_t,predicted_t,report_datetime,stop_gtfs_seq,route,measured_t,predicted_t,report_datetime,stop_gtfs_seq,route
63,90,2017-11-10T03:14:00Z,1,MTA NYCT_M42,0,1,2017-11-10T03:14:37Z,1,MTA NYCT_BX1
17,15,2017-11-10T03:13:59Z,1,MTA NYCT_B36,0,7,2017-11-10T03:14:42Z,1,MTA NYCT_Q58
52,101,2017-11-10T03:13:59Z,1,MTA NYCT_M101,0,1,2017-11-10T03:14:43Z,1,MTA NYCT_Q59
0,2,2017-11-10T03:14:00Z,1,MTABC_Q25,0,5,2017-11-10T03:14:44Z,1,MTABC_Q10
32,50,2017-11-10T03:13:59Z,1,MTA NYCT_Q46,0,9,2017-11-10T03:14:45Z,1,MTABC_Q10
0,0,2017-11-10T03:13:59Z,1,MTABC_Q10,0,1,2017-11-10T03:14:44Z,1,MTA NYCT_BX1
46,42,2017-11-10T03:14:00Z,1,MTA NYCT_Q58,0,4,2017-11-10T03:14:43Z,1,MTA NYCT_B36
0,1,2017-11-10T03:14:00Z,1,MTA NYCT_Q88,0,4,2017-11-10T03:14:45Z,1,MTA NYCT_BX1
44,21,2017-11-10T03:13:59Z,1,MTA NYCT_B37,0,0,2017-11-10T03:14:48Z,1,MTA NYCT_M101
23,15,2017-11-10T03:14:00Z,1,MTA NYCT_Q54,0,12,2017-11-10T03:14:49Z,1,MTA NYCT_M5
32,25,2017-11-10T03:14:00Z,1,MTA NYCT_B37,0,1,2017-11-10T03:14:48Z,1,MTA NYCT_B63
96,76,2017-11-10T03:14:00Z,1,MTABC_Q110,0,10,2017-11-10T03:14:49Z,1,MTA NYCT_M15
65,82,2017-11-10T03:14:00Z,1,MTA NYCT_M101,0,14,2017-11-10T03:14:49Z,1,MTA NYCT_M9
82,85,2017-11-10T03:14:00Z,1,MTA NYCT_X1,0,5,2017-11-10T03:14:50Z,1,MTABC_Q110
