distance_along_trip,n
13.09146488,20
13.26842295,2
13.28507969,15
13.38128247,20
13.59343733,60
13.62223517,80
13.64840453,20
13.66345624,20
13.70781811,100
13.79656232,30
13.80333485,20
13.88363603,18
13.97712528,16
14.05867545,80
14.14757803,16
14.20103391,20
14.20342613,18
14.30561837,20
14.37823426,20
14.42267503,20
14.46730268,20
14.68800186,38
15.03153836,60
15.1267995,60
15.28631019,40
15.32501456,80
15.33125329,20
15.35626011,25
15.5378646,36
15.71587881,20
15.72817202,20
15.80775818,20
15.96753352,20
15.97574199,256
16.04013512,484
16.12391335,13
16.14839055,40
16.22091513,140
16.32000206,38
16.354213,21
16.47817691,20
16.48770681,20
16.61583247,40
16.71546444,20
16.8277676,15
16.82834545,20
16.90671945,120
16.98873927,20
17.04116788,14
17.06668323,20
17.07135593,20
17.08199426,40
17.25281653,20
17.2910435,39
17.29166372,16
17.30807378,20
17.32270194,13
17.43891965,20
17.49941837,80
17.6912306,19
17.83940104,20
17.88728638,20
17.95200227,91
18.06295458,20
18.25552206,39
18.25948183,20
18.33933279,60
18.34495257,20
18.34774268,20
18.684259870000002,20
18.74212558,20
18.78942294,20
18.90544198,20
18.91705365,30
18.99670563,18
19.16764037,20
19.21724354,20
19.24811676,19
19.26198151,16
19.28973691,40
19.41182211,49
19.42617326,20
19.46509816,80
19.54633323,20
19.58400247,19
19.63092313,60
19.65368232,36
19.82556294,120
20.15489168,20
20.38404122,80
20.39781159,40
20.43335275,55
20.43634496,20
20.46824261,20
20.57912264,20
20.86850078,20
20.99856108,20
21.01065816,80
21.07450975,20
21.11840436,9
21.24426426,20
21.30136884,20
21.32995607,20
21.42341686,20
21.51213081,8
21.6470828,39
21.70574439,40
21.78300427,58
21.80594775,80
21.81916267,60
21.87609788,15
22.29751961,60
22.49867459,60
22.80797018,20
22.86698282,20
22.89210232,20
22.95895673,18
22.98035751,20
22.98752185,60
23.10662321,39
23.41852813,9
23.55887464,15
23.59171916,20
23.70882346,20
23.77934316,20
23.80164545,20
23.96896897,10
24.039668,15
24.11217114,40
24.28008428,20
24.30964927,36
24.32095984,20
24.45993675,20
24.49108615,20
24.52472853,26
24.55713209,20
24.56026421,18
24.5691329,20
24.7654048,20
24.85151161,80
24.88258233,20
24.94329952,16
25.30168229,20
25.51579433,40
25.56327456,20
25.81455697,14
26.14102327,20
26.14822317,20
26.155997,20
26.23134348,20
26.27145354,20
26.76792841,15
26.87318891,20
26.89016351,28
26.95772708,18
27.01646741,20
27.0446265,15
27.19361903,13
27.22138877,12
27.24447034,59
27.383283080000002,200
27.38328309,54
27.45078624,20
27.49510492,15
27.49570047,5
27.51742885,20
27.6656696,20
27.7440035,16
27.76727205,15
28.06399269,20
28.06696932,20
28.13406751,20
28.33827396,10
28.40170376,40
28.61088294,20
28.61352319,20
28.72544689,17
28.76195428,20
29.06775019,7
29.38507622,120
29.41853394,20
29.43207967,20
29.71237721,20
29.7383444,20
29.85909879,20
29.89348996,40
29.91286542,20
30.06307671,20
30.09909078,9
30.26882809,60
30.55419469,14
30.65002913,105
30.69220761,20
30.88007421,20
30.95965356,19
31.1238783,20
31.25125613,340
31.27413316,20
31.39413259,40
31.61176462,40
31.6471413,18
31.98490892,20
32.02873924,60
32.06128579,16
32.07489656,12
32.26819622,20
32.39515073,15
32.41286569,12
32.44183026,20
32.45101882,20
32.4565948,20
32.65672234,18
32.69825964,20
32.79335837,20
32.86706729,20
32.97523663,20
33.00966804,20
33.07094131,14
33.13056017,40
33.23651714,20
33.4393721,9
33.57228525,40
33.59148614,20
33.59578712,20
33.72234756,20
33.8209613,20
33.965249,40
34.02001193,20
34.05558792,60
34.13336646,17
34.14942295,20
34.21895014,19
34.47053626,20
34.70909006,17
34.85752669,5
34.92655259,40
35.2658624,21
35.38246121,20
35.51675367,16
35.69057121,45
35.7150047,5
35.80419012,20
36.05475923,34
36.05668758,20
36.2992378,20
36.51104411,116
36.62746666,64
36.64103154,20
36.68990513,20
36.70419663,20
37.36055094,20
37.42262575,14
37.49607948,371
37.55456327,40
37.64985279,39
37.71864248,20
37.77569844,140
38.09166153,20
38.43448709,40
38.51103868,18
38.93811523,15
39.17340047,20
39.21217845,20
39.23131806,20
39.35908805,20
39.4209213,20
39.61650295,20
39.82465682,20
39.86553755,20
39.96274753,10
40.15717269,15
40.46680713,20
40.55306807,20
40.56973637,40
40.66710504,17
40.75585289,20
40.83938719,20
40.86670551,17
40.88925468,20
40.91047244,12
40.95970359,20
40.9731761,57
41.03620176,18
41.17343228,20
41.26596666,20
41.26696788,20
